incident,user,loc_lat,loc_long,species,action,severity,status,timestamp
41,0708757565,46.93301315608852,-92.50213695345292,tiger,poaching,P2,actionable,Oct 21 2019 09:22:35
42,1417420949,45.24051562769436,-120.87247990507097,gorilla,poaching,P3,verified,Oct 02 2019 22:42:15
43,2853619333,26.434400784305215,-115.72011507535522,pangolin,human wildlife conflict,P2,verified,Oct 10 2019 09:24:48
44,2129006458,35.66441274339196,-100.50615360686388,pangolin,animal mortality,P3,submitted,Oct 08 2019 04:45:40
45,2560923201,30.80571134080467,-72.78625574650614,tiger,wildlife sightings,P2,verified,Oct 05 2019 18:15:55
46,0073606420,25.475823371757397,-88.78416740802967,pangolin,human wildlife conflict,P3,submitted,Oct 09 2019 01:31:50
47,0244695637,45.73601676324151,-75.06240630369996,other,wildlife sightings,P0,actionable,Oct 03 2019 15:59:04
48,1278295830,45.072934502277505,-111.42901019999067,tiger,wildlife sightings,P2,actionable,Oct 10 2019 17:23:04
49,2639388435,42.390998671475316,-77.73172415428299,pangolin,wildlife sightings,P3,actionable,Oct 03 2019 01:08:40
50,2737192073,38.78677905746885,-114.74628430155656,pangolin,poaching,P3,actionable,Oct 19 2019 04:22:25
51,0073606420,29.435764132365186,-112.86115509521575,tiger,poaching,P2,verified,Oct 31 2019 13:53:56
52,0704522174,47.94861947500162,-97.88572729718352,gorilla,animal mortality,P3,submitted,Oct 15 2019 16:36:37
53,4730781208,42.472058187763395,-100.41353606546014,sea turtle,human wildlife conflict,P3,verified,Oct 03 2019 18:13:36
54,2067094544,34.52441978302621,-100.40276399538996,tiger,animal mortality,P3,verified,Oct 05 2019 17:40:09
55,0589648381,49.093009513926454,-105.11895313356212,gorilla,animal mortality,P3,submitted,Oct 12 2019 11:14:28
56,0244695637,42.444808627784575,-120.23376789436934,parrot,other,P1,submitted,Oct 18 2019 04:57:41
57,0712409768,27.623808050419417,-72.74401627248254,other,human wildlife conflict,P3,submitted,Nov 01 2019 06:39:03
58,2766944041,38.08146321490878,-67.47257599717645,pangolin,human wildlife conflict,P0,actionable,Oct 24 2019 13:59:52
59,2164685630,32.22809591699994,-85.52232896887566,sea turtle,other,P3,actionable,Oct 04 2019 09:21:05
60,4826897062,34.838462258762334,-70.0562997761539,other,animal mortality,P3,submitted,Oct 12 2019 23:45:22
61,1006324433,41.225139763674946,-95.67891270315172,rhino,poaching,P2,actionable,Oct 26 2019 16:28:40
62,3437655493,26.48180341425783,-70.12508944323952,pangolin,animal mortality,P0,verified,Oct 23 2019 16:33:23
63,4941511756,34.461498282769014,-72.06388120635279,parrot,human wildlife conflict,P0,verified,Oct 12 2019 05:33:16
64,3070696655,43.36130947198172,-100.62081184026397,parrot,human wildlife conflict,P1,submitted,Oct 16 2019 13:29:54
65,0590105989,44.255514525835224,-77.77196172511145,rhino,other,P0,verified,Oct 31 2019 13:08:07
66,4147028725,46.59105825127941,-67.01277947614764,other,other,P3,verified,Oct 29 2019 07:46:15
67,5024488272,39.19327874838455,-94.63821337467203,parrot,other,P3,actionable,Oct 15 2019 15:57:27
68,0448288681,32.52337477990186,-114.09359347294779,tiger,wildlife sightings,P2,verified,Oct 13 2019 05:20:25
69,0038687773,32.547970362308476,-100.24239398237619,tiger,other,P2,submitted,Oct 22 2019 14:10:05
70,3421043706,48.245213823160796,-104.31594082800223,other,other,P3,verified,Oct 31 2019 13:10:38
71,2318085724,37.5202666682929,-118.14675518249155,tiger,wildlife sightings,P3,verified,Oct 04 2019 22:49:03
72,2171732175,48.639403015276415,-98.48214659306478,pangolin,animal mortality,P2,verified,Oct 05 2019 10:47:28
73,1556408686,40.36883932599553,-96.7759254094137,other,poaching,P0,verified,Oct 18 2019 11:02:29
74,0448288681,48.166825146341125,-111.10116987180002,rhino,other,P3,submitted,Oct 18 2019 15:22:01
75,1706624263,47.73928722621081,-109.69559585110483,rhino,other,P3,actionable,Oct 21 2019 12:00:47
76,1403389892,29.84738755884391,-120.22145060526476,tiger,human wildlife conflict,P2,submitted,Oct 12 2019 09:32:45
77,2344162167,30.095174694142,-76.50019424038649,pangolin,poaching,P3,actionable,Nov 01 2019 23:43:44
78,4513271841,33.549031560071754,-115.99112911272869,pangolin,other,P3,verified,Oct 25 2019 19:48:34
79,3251969463,38.09741014408722,-74.65954698443662,tiger,poaching,P2,submitted,Oct 05 2019 04:09:28
80,1122583241,48.28428136428262,-86.90217021022517,gorilla,wildlife sightings,P1,actionable,Oct 28 2019 11:44:12
81,4403987644,26.477673231851213,-69.86544160689795,tiger,poaching,P3,submitted,Oct 26 2019 21:15:45
82,3278441901,38.64337014347275,-93.84811360324328,parrot,animal mortality,P2,verified,Oct 12 2019 17:25:02
83,4046995843,28.12943317155112,-69.83973146512024,elephant,poaching,P0,verified,Oct 22 2019 11:25:26
84,2737192073,29.61274362565068,-76.3856944143057,rhino,poaching,P3,actionable,Oct 23 2019 17:48:21
85,2404410806,37.107747289910876,-114.52586936625994,tiger,poaching,P3,verified,Oct 30 2019 05:26:26
86,4770774853,46.6713572134161,-95.66465986236909,other,poaching,P0,verified,Oct 11 2019 19:12:31
87,2355641394,47.62164844159044,-90.83680617710806,parrot,poaching,P0,submitted,Oct 14 2019 06:54:44
88,3237957445,30.180990773339037,-109.94669555233813,pangolin,other,P3,submitted,Oct 23 2019 13:49:04
89,0371018679,44.401233602309205,-117.80060236888785,other,other,P2,submitted,Oct 15 2019 16:48:45
90,3281251970,27.30767694829547,-92.55478812954559,sea turtle,animal mortality,P2,verified,Oct 03 2019 17:56:46
91,1769262086,35.806230488255494,-108.99499738193434,elephant,animal mortality,P3,verified,Oct 14 2019 18:57:09
92,4730781208,45.748709528873505,-97.21632995412823,other,poaching,P0,submitted,Oct 27 2019 18:12:42
93,1403389892,30.903948681124483,-118.41074270588759,other,other,P0,actionable,Oct 02 2019 10:34:04
94,1215950572,48.934257519498445,-118.69674671258859,gorilla,other,P1,verified,Oct 11 2019 01:19:22
95,1436697571,29.693931080988193,-114.73559578792575,sea turtle,human wildlife conflict,P3,submitted,Oct 31 2019 00:51:40
96,4853072672,29.44375928656617,-72.24418790769835,parrot,animal mortality,P0,actionable,Oct 18 2019 19:53:24
97,1417420949,25.545369312439366,-96.32390064264956,elephant,wildlife sightings,P3,verified,Oct 05 2019 10:46:41
98,3572413830,30.860797451256015,-97.96630328621492,rhino,wildlife sightings,P3,actionable,Oct 11 2019 08:59:59
99,0234937877,35.08917449992596,-106.58186078529165,rhino,poaching,P1,verified,Oct 08 2019 18:36:43
100,4827528891,36.38972159083198,-123.87460574203408,pangolin,other,P3,actionable,Oct 25 2019 23:53:48
101,2163936447,46.796968604388624,-80.39911923570062,tiger,wildlife sightings,P2,actionable,Oct 11 2019 17:57:45
102,2562440223,28.548120489559835,-100.05254260945965,elephant,human wildlife conflict,P3,verified,Oct 04 2019 22:41:05
103,3122423005,30.316364039161737,-109.58400949406828,pangolin,human wildlife conflict,P3,actionable,Nov 01 2019 20:00:47
104,0027544567,34.77495809372358,-81.35669467627721,other,poaching,P1,verified,Oct 12 2019 13:31:36
105,4618546342,32.67126885527338,-109.13051522802337,sea turtle,wildlife sightings,P1,actionable,Oct 30 2019 14:42:10
106,2730827095,32.118560033140206,-99.34960682792396,gorilla,human wildlife conflict,P3,submitted,Oct 31 2019 23:02:05
107,0708757565,48.66988219886575,-92.69037876258766,gorilla,poaching,P3,verified,Oct 24 2019 11:03:21
108,4822004120,48.55343491412306,-85.87940666435637,tiger,other,P3,submitted,Oct 14 2019 11:21:21
109,1300862751,42.896696878494566,-121.00326638998656,gorilla,wildlife sightings,P1,actionable,Oct 15 2019 23:52:07
110,1417420949,26.169010066777666,-91.13347106417353,pangolin,wildlife sightings,P1,submitted,Oct 24 2019 07:50:27
111,1470329779,34.71886820781194,-82.66692586029392,rhino,human wildlife conflict,P3,verified,Oct 04 2019 13:36:05
112,1108938273,39.295853106425014,-114.7021302628731,tiger,human wildlife conflict,P3,verified,Oct 20 2019 14:24:23
113,1398346846,31.399454626204218,-117.41947047097275,other,animal mortality,P1,verified,Oct 15 2019 11:48:44
114,1895112835,37.46511057910104,-75.1064726186165,other,poaching,P3,submitted,Oct 17 2019 02:49:29
115,3422642634,34.296189300800414,-89.76715705783597,tiger,animal mortality,P3,submitted,Oct 12 2019 13:43:59
116,3307312411,26.62730538233804,-109.58806472185196,parrot,animal mortality,P1,actionable,Oct 21 2019 22:40:10
117,3124506536,42.42082507501218,-72.09591218726746,sea turtle,human wildlife conflict,P2,submitted,Oct 12 2019 10:11:30
118,4104526427,41.93720699762354,-124.62684748885738,sea turtle,other,P3,verified,Oct 12 2019 10:43:48
119,3817154554,31.69312939025685,-118.5432274798037,pangolin,wildlife sightings,P2,verified,Oct 04 2019 09:10:35
120,4720870427,46.68438302063474,-113.4622531761424,gorilla,other,P3,verified,Oct 07 2019 18:55:22
121,4464335701,44.96473486789077,-87.04004225802268,other,poaching,P3,actionable,Oct 08 2019 13:49:25
122,4734992127,26.9669945822937,-94.77787881461799,other,wildlife sightings,P1,submitted,Oct 22 2019 00:11:58
123,4720870427,43.769312019997635,-88.25164029035349,rhino,other,P1,verified,Oct 17 2019 15:46:05
124,3995241733,46.86020694737486,-97.79693329663374,elephant,poaching,P1,verified,Oct 15 2019 20:20:29
125,4438319957,28.439700679935925,-112.23376863202655,parrot,animal mortality,P2,submitted,Oct 29 2019 21:32:55
126,2212509902,36.35358918711011,-77.40925188239298,gorilla,human wildlife conflict,P3,verified,Oct 21 2019 03:02:34
127,0469680873,39.70799837719313,-96.43098479849169,tiger,other,P3,submitted,Oct 12 2019 11:09:29
128,3094395465,24.93913377736961,-81.57096414193674,elephant,wildlife sightings,P3,actionable,Oct 12 2019 16:31:24
129,0768147677,45.40308000237371,-94.40807002983372,rhino,poaching,P3,actionable,Oct 29 2019 03:04:25
130,1417420949,44.62699083208608,-124.50582112608981,sea turtle,animal mortality,P2,actionable,Oct 20 2019 12:44:14
131,2902718344,43.79348222914652,-112.32697482804821,other,other,P2,verified,Oct 11 2019 05:18:50
132,0234937877,39.769699888461886,-123.25921449871385,sea turtle,other,P2,submitted,Oct 22 2019 18:59:50
133,0446857635,36.74330373736362,-80.3856918969766,elephant,human wildlife conflict,P2,submitted,Oct 30 2019 06:30:35
134,1951366309,38.3601756016676,-102.55328935465536,rhino,wildlife sightings,P3,verified,Oct 20 2019 04:58:54
135,4464335701,26.351070591104534,-72.27294053895977,other,other,P2,actionable,Oct 20 2019 03:34:34
136,5036976844,28.19906403625901,-108.37372540116733,other,poaching,P2,actionable,Oct 26 2019 07:10:46
137,1514086153,28.037385054736124,-100.96564694596304,rhino,animal mortality,P1,submitted,Oct 10 2019 22:12:50
138,0186507080,41.063537934655,-100.44937163520372,tiger,animal mortality,P0,verified,Oct 31 2019 07:29:26
139,2718592305,44.69227604668909,-94.77171993696544,gorilla,other,P2,verified,Oct 02 2019 20:59:09
140,0707723700,35.67264388384726,-90.64479474419171,tiger,poaching,P1,submitted,Oct 07 2019 02:34:16
141,0327853156,30.919187752140374,-120.34446883845199,tiger,animal mortality,P1,actionable,Oct 23 2019 11:49:43
142,1944663947,30.631816065407893,-71.04033510097507,elephant,poaching,P3,actionable,Oct 14 2019 11:29:10
143,2624753037,34.34029663039297,-99.02851349921397,gorilla,human wildlife conflict,P3,submitted,Oct 11 2019 18:04:28
144,2902718344,43.273284709028445,-87.31217563545272,pangolin,wildlife sightings,P1,submitted,Oct 10 2019 23:36:36
145,1417420949,31.833895126821805,-71.05527497413962,pangolin,poaching,P1,actionable,Oct 04 2019 02:22:08
146,0607101639,37.231220515090634,-120.67042746958448,other,animal mortality,P0,actionable,Oct 26 2019 10:42:28
147,1634316056,30.74248151552391,-101.92881731075789,elephant,wildlife sightings,P3,verified,Oct 06 2019 00:58:23
148,1941480020,42.961192083826674,-69.57669196480066,pangolin,other,P1,actionable,Oct 16 2019 14:50:21
149,1873211393,39.9408216234633,-101.59690491013447,pangolin,wildlife sightings,P1,verified,Oct 06 2019 16:56:36
150,0976227137,43.634557699581904,-70.68896212265244,rhino,human wildlife conflict,P3,verified,Oct 08 2019 05:04:14
151,3123051056,35.17805331128818,-73.61373633958286,sea turtle,human wildlife conflict,P3,submitted,Oct 21 2019 08:08:24
152,4971268990,39.40886665218397,-103.15529483491561,other,wildlife sightings,P3,actionable,Oct 22 2019 16:45:31
153,3702568002,33.33110840844584,-89.10754182433382,rhino,wildlife sightings,P1,actionable,Oct 05 2019 08:22:22
154,0139263080,46.772199525661854,-99.55940579287953,sea turtle,human wildlife conflict,P1,verified,Oct 16 2019 04:29:31
155,4915866935,25.019405790878704,-68.18260080412333,rhino,wildlife sightings,P3,actionable,Oct 28 2019 22:29:53
156,3625092102,30.923196581339568,-78.63837116687966,tiger,other,P3,actionable,Oct 30 2019 05:48:18
157,0954512612,32.11127283557048,-116.66738147566944,parrot,other,P1,actionable,Oct 06 2019 08:44:31
158,0412417648,32.72209340759186,-115.96544437452488,elephant,human wildlife conflict,P1,verified,Oct 26 2019 00:48:05
159,4448641103,39.83194176693468,-114.8862941260117,tiger,poaching,P2,submitted,Oct 17 2019 14:09:47
160,1908035290,36.84801665558388,-86.81445107482608,pangolin,animal mortality,P1,verified,Oct 14 2019 23:23:53
161,1470329779,26.1049125700848,-122.76600723946349,pangolin,animal mortality,P2,verified,Oct 24 2019 07:09:32
162,2902718344,40.26618160072582,-79.37155185582039,parrot,poaching,P3,actionable,Oct 02 2019 09:10:21
163,5056398813,39.01819755376809,-77.58264431347848,rhino,poaching,P2,verified,Oct 15 2019 21:23:22
164,1843190174,27.419577802056395,-105.19678269368751,tiger,poaching,P3,verified,Oct 18 2019 11:02:45
165,2163936447,26.191760673809686,-93.6980735047365,gorilla,human wildlife conflict,P2,verified,Oct 12 2019 09:38:51
166,1667097324,30.94945290896778,-109.43273655775658,tiger,wildlife sightings,P2,submitted,Oct 04 2019 13:37:06
167,3264445858,44.674846009092974,-94.92287323974874,elephant,other,P1,verified,Oct 01 2019 11:02:23
168,0579766026,48.887305246335956,-77.03030573619012,parrot,wildlife sightings,P3,verified,Oct 05 2019 05:36:29
169,3779537016,49.21789161513182,-85.47472428730805,pangolin,poaching,P1,submitted,Oct 18 2019 17:07:59
170,0453368985,43.135036049456694,-73.55066273123572,elephant,other,P2,verified,Oct 04 2019 00:44:31
171,2717166112,39.19813027817369,-67.59135806709014,parrot,wildlife sightings,P2,verified,Oct 05 2019 22:29:38
172,4464335701,46.5591222796355,-90.76382482987455,tiger,wildlife sightings,P3,verified,Oct 17 2019 22:34:24
173,1419290088,29.686904238549733,-122.46812653096397,gorilla,human wildlife conflict,P0,actionable,Oct 23 2019 17:07:22
174,4033622725,38.12284920233722,-69.95482435250953,rhino,other,P1,actionable,Oct 15 2019 01:39:59
175,1403389892,37.14733115531462,-94.06079499673871,other,other,P2,verified,Oct 14 2019 19:35:49
176,3029500073,47.92245837643469,-97.80770203466554,tiger,wildlife sightings,P1,actionable,Oct 25 2019 22:34:15
177,1673127888,39.899530852468104,-122.36862897383789,rhino,wildlife sightings,P2,submitted,Oct 08 2019 22:47:21
178,4464335701,38.87075078319195,-89.10515624511523,other,animal mortality,P1,submitted,Oct 20 2019 02:22:11
179,2902718344,32.45736702445953,-121.46862807317368,pangolin,other,P1,verified,Oct 08 2019 17:56:48
180,4827528891,33.5247931501263,-71.49130006356182,pangolin,animal mortality,P1,verified,Oct 12 2019 17:22:52
181,3206043199,30.041185176888376,-98.90208997309051,elephant,animal mortality,P2,verified,Oct 15 2019 07:22:33
182,1132182493,40.59536587724594,-96.06878687009278,pangolin,poaching,P3,verified,Oct 05 2019 04:43:01
183,0712409768,33.43797416720973,-111.24663688866559,gorilla,animal mortality,P2,verified,Oct 30 2019 01:33:26
184,2085658892,25.66859240953709,-77.67128534030059,tiger,other,P3,submitted,Oct 20 2019 05:43:48
185,3036299797,31.29237961147455,-94.81508637501025,pangolin,poaching,P3,actionable,Oct 14 2019 08:32:06
186,1355847742,28.90293295886101,-116.39723743344403,other,poaching,P2,submitted,Oct 31 2019 21:06:07
187,1355847742,42.190020163114184,-114.19288384523392,tiger,human wildlife conflict,P3,verified,Oct 23 2019 19:16:51
188,2384695414,38.12281866879016,-124.73021473464628,parrot,poaching,P2,submitted,Oct 15 2019 21:19:52
189,4557347976,31.658637727873682,-116.65132184672431,pangolin,human wildlife conflict,P3,submitted,Oct 03 2019 03:27:55
190,4229984045,34.258049436966324,-79.11764738250213,other,wildlife sightings,P2,actionable,Oct 28 2019 18:42:52
191,0891710761,26.16477019404374,-108.54758650647953,rhino,animal mortality,P2,verified,Oct 02 2019 00:18:17
192,0073606420,35.04500516577123,-122.65498635475045,gorilla,wildlife sightings,P2,submitted,Oct 29 2019 19:36:17
193,4095034522,37.8506117759315,-77.98639617457815,tiger,wildlife sightings,P3,actionable,Oct 21 2019 04:27:25
194,4554217106,31.652095908024375,-85.28056625015776,pangolin,human wildlife conflict,P0,submitted,Oct 01 2019 22:31:02
195,4284916300,31.36214727354927,-112.12701036171234,parrot,human wildlife conflict,P2,actionable,Oct 30 2019 14:46:40
196,0992093746,28.86421069451078,-102.30436739634709,rhino,other,P2,verified,Oct 04 2019 17:18:34
197,3702568002,31.82750939634883,-99.9348482107045,sea turtle,wildlife sightings,P3,verified,Oct 11 2019 12:07:54
198,2219165574,39.004331945184965,-103.34206835743788,pangolin,poaching,P3,verified,Oct 12 2019 06:20:03
199,4535813107,40.052634721530474,-103.75505983924887,parrot,other,P2,actionable,Oct 22 2019 17:52:06
200,0229497048,38.36189584012257,-87.9519578314304,elephant,human wildlife conflict,P1,verified,Oct 29 2019 08:20:30
201,3421043706,38.63417630469282,-82.7533709187428,tiger,animal mortality,P3,actionable,Oct 31 2019 19:13:21
202,1988839430,34.11573565693938,-115.11010952308577,sea turtle,human wildlife conflict,P2,actionable,Oct 23 2019 21:44:00
203,0363146768,37.88353361337,-77.34327174732664,tiger,wildlife sightings,P2,verified,Oct 31 2019 07:21:18
204,1652945746,27.551645681534936,-110.67603436708976,elephant,animal mortality,P3,actionable,Oct 15 2019 05:28:31
205,3893326737,27.34564599492402,-82.6434371284945,sea turtle,wildlife sightings,P3,verified,Oct 23 2019 11:23:48
206,3074908848,44.63970175892811,-99.70568793419332,elephant,other,P1,submitted,Oct 15 2019 15:19:20
207,4967541384,29.643923276513423,-83.65009397397091,gorilla,poaching,P0,actionable,Oct 09 2019 06:37:53
208,1417420949,35.937697513040895,-80.76738720339321,sea turtle,poaching,P3,actionable,Oct 30 2019 13:49:45
209,3307312411,31.27974476357655,-99.6079569624969,pangolin,other,P1,actionable,Oct 07 2019 21:07:27
210,0474963239,36.109704891678184,-81.45376080576892,other,wildlife sightings,P2,submitted,Oct 10 2019 17:47:47
211,3069648756,46.80882818052133,-95.03528952552823,other,other,P2,submitted,Oct 18 2019 23:38:57
212,3094395465,44.96965469954385,-95.06669227273548,parrot,human wildlife conflict,P1,verified,Oct 07 2019 16:22:54
213,4730781208,47.165827382438124,-114.09826170468862,elephant,animal mortality,P3,verified,Oct 26 2019 09:11:51
214,3631018401,38.07957592780707,-74.11455439798581,elephant,poaching,P3,verified,Oct 22 2019 00:12:14
215,4096882879,43.33904886398183,-118.54392993241879,pangolin,animal mortality,P3,submitted,Oct 08 2019 07:20:04
216,2185185491,33.11762700469505,-122.99702107995164,pangolin,poaching,P1,submitted,Oct 25 2019 17:44:59
217,2933850531,33.08087321027364,-71.43660207184713,pangolin,poaching,P3,actionable,Oct 25 2019 10:27:45
218,0637113634,27.797809275047,-99.3065597061933,elephant,animal mortality,P2,verified,Oct 09 2019 06:05:04
219,1470329779,26.311167681159745,-117.98536385290734,parrot,poaching,P1,actionable,Oct 31 2019 15:41:09
220,1822361750,42.289938139005784,-101.56983010248965,tiger,wildlife sightings,P3,actionable,Oct 01 2019 21:53:37
221,3910349969,46.20235428067434,-68.17349946412264,gorilla,other,P1,verified,Oct 12 2019 18:38:03
222,4104526427,42.841960742252766,-83.38545559898442,pangolin,human wildlife conflict,P2,actionable,Oct 07 2019 12:41:57
223,0976199966,31.180734783895215,-90.8046199844371,pangolin,wildlife sightings,P0,verified,Oct 03 2019 23:54:56
224,2962496472,34.05978863996985,-107.28009999795943,gorilla,human wildlife conflict,P2,actionable,Oct 05 2019 16:59:19
225,2623005794,35.27064331796258,-86.04868152104046,gorilla,other,P3,actionable,Oct 11 2019 20:58:36
226,3250643559,31.14913710903113,-118.41875332128569,elephant,animal mortality,P1,verified,Oct 13 2019 11:42:02
227,0589648381,37.453423433866675,-67.03125151257296,pangolin,human wildlife conflict,P1,actionable,Oct 29 2019 13:18:15
228,0599951906,48.376025197683745,-70.30968611862622,elephant,poaching,P2,verified,Oct 06 2019 00:29:39
229,0027544567,38.59791489458907,-89.40957459484483,tiger,human wildlife conflict,P3,actionable,Oct 05 2019 08:13:29
230,2871371727,42.142476152868404,-102.77627632705766,rhino,other,P3,verified,Oct 21 2019 21:26:04
231,0474963239,29.02890426120893,-110.15182551663665,other,animal mortality,P3,verified,Oct 30 2019 03:34:31
232,0172985919,31.117776466336313,-107.40606350448448,elephant,animal mortality,P3,actionable,Nov 01 2019 04:04:17
233,4770524775,34.732667828247294,-102.80082546241422,rhino,human wildlife conflict,P2,verified,Oct 16 2019 06:28:25
234,0077657283,26.701421699863772,-105.75822845493309,other,animal mortality,P2,actionable,Oct 08 2019 12:54:41
235,1257630205,26.53663346134705,-72.40509917459259,elephant,other,P1,actionable,Oct 20 2019 06:03:35
236,0952454644,39.130244007847836,-90.68428649833467,pangolin,animal mortality,P1,actionable,Oct 19 2019 15:26:05
237,2908045077,41.183362978262345,-70.52761444763388,gorilla,other,P3,actionable,Oct 02 2019 14:03:27
238,4345171488,27.64908849262928,-109.97493463262708,pangolin,human wildlife conflict,P2,submitted,Oct 03 2019 03:02:51
239,3702998234,48.51584133952096,-68.90493139697531,parrot,human wildlife conflict,P3,actionable,Oct 22 2019 16:54:17
240,4177972150,27.6461081577556,-90.14330582841073,tiger,animal mortality,P0,verified,Oct 30 2019 11:55:54
241,0607101639,38.35894351400982,-92.70970220023045,other,human wildlife conflict,P3,verified,Oct 02 2019 13:48:38
242,1994501793,41.985486749183536,-87.66353472586744,sea turtle,wildlife sightings,P2,actionable,Oct 09 2019 20:26:54
243,1706624263,27.79055263311004,-69.99063177849257,elephant,human wildlife conflict,P3,actionable,Oct 24 2019 00:58:25
244,3033323619,25.438136911064916,-78.02493549497477,gorilla,wildlife sightings,P3,actionable,Oct 07 2019 12:18:04
245,3069648756,31.214536885902234,-80.0762058751616,tiger,other,P3,actionable,Oct 23 2019 15:08:32
246,2560923201,36.566789908091074,-100.50213737879027,other,wildlife sightings,P1,verified,Oct 20 2019 08:37:53
247,1769030063,28.924115083520125,-72.36637910983728,tiger,human wildlife conflict,P2,verified,Oct 01 2019 03:34:05
248,4935536058,41.089696082508524,-80.18849928896687,sea turtle,poaching,P3,submitted,Oct 26 2019 00:18:47
249,1769262086,37.89556944638418,-96.72817228458803,tiger,poaching,P3,actionable,Oct 23 2019 23:14:56
250,0398037638,34.93056361545861,-85.7335267619261,elephant,wildlife sightings,P0,submitted,Oct 13 2019 02:50:32
251,1667097324,32.95890495929541,-108.47574087672237,sea turtle,poaching,P0,actionable,Oct 22 2019 10:17:14
